Country,Happiness_Score,GDP_per_capita,Social_support,Healthy_life_expectancy,Corruption,Id,Freedom_Score,Property_Rights,Government_Spending,Business,Trade,Investment,rank,Crime_Index,Population
Afghanistan,1.859,7.324,0.341,54.712,0.847,1,0,5.8,0,34.6,0,0,4,76,42239854
Albania,5.277,9.567,0.718,69.15,0.878,2,65.3,55.9,71,70.7,82.8,70,78,43,2832439
Algeria,5.329,9.3,0.855,66.549,0.717,3,43.2,27.8,50.7,53.6,57.5,30,43,52,45606480
Argentina,6.024,9.959,0.891,67.2,0.814,5,51,34.6,53.9,55.5,61.2,55,18,64,45773884
Armenia,5.342,9.615,0.79,67.789,0.705,6,65.1,50.3,76.3,64.9,73.6,75,127,23,2777970
Australia,7.095,10.821,0.934,71.05,0.496,7,74.8,90.7,47,88.3,89.8,80,75,43,26439111
Austria,7.097,10.899,0.888,71.15,0.497,8,71.1,97,13,78.5,78.6,80,119,26,8958960
Bahrain,6.173,10.776,0.844,65.825,0.737,11,62.5,65.4,66.3,64,84.2,85,118,26,1485509
Bangladesh,4.282,8.685,0.544,64.548,0.698,12,54.4,36.8,94.7,56.7,62,50,17,64,172954319
Belgium,6.859,10.844,0.915,70.899,0.549,15,67.1,92,8.1,79,78.6,85,70,45,11686140
Bolivia,5.684,8.985,0.811,63.599,0.846,19,43.4,21.1,60.8,55.1,60,15,27,58,12388571
Bosnia and Herzegovina,5.633,9.616,0.88,67.275,0.918,20,62.9,48.2,46.6,67,68,65,76,43,3210847
Botswana,3.435,9.629,0.753,54.725,0.83,21,64.9,72.8,61.1,65.2,78.6,65,42,53,2675352
Brazil,6.125,9.582,0.836,65.749,0.738,22,53.5,49.7,55,63.6,65,60,9,67,216422446
Bulgaria,5.466,10.087,0.918,66.5,0.911,23,69.3,75.3,56.5,71.8,78.6,60,92,38,6687717
Cambodia,4.393,8.385,0.747,61.9,0.857,27,56.5,40.8,78.7,54.4,66.8,50,46,51,16944826
Cameroon,4.973,8.217,0.686,55.847,0.846,28,51.9,38.4,91.1,47.2,53.6,30,14,65,28647293
Canada,6.961,10.773,0.929,71.4,0.42,29,73.7,88.5,35,87.9,83.4,80,82,42,38781291
Chile,6.334,10.114,0.889,70.3,0.823,33,71.1,72.3,73.5,75.7,78,70,41,53,19629590
China,5.818,9.738,0.836,68.689,0.727,34,48.3,45.3,65.1,68.3,73.6,20,108,30,1425671352
Colombia,5.63,9.584,0.822,69.35,0.834,35,63.1,44.9,66,72.2,75.8,80,30,57,52085168
Costa Rica,6.609,9.952,0.872,70,0.768,39,66.5,66,85.9,73.8,74.6,70,38,54,5212173
Croatia,6.125,10.341,0.917,68.95,0.925,41,66.4,79.5,25.1,72.1,78.6,75,123,25,4008617
Cyprus,6.13,10.611,0.826,72.802,0.86,43,72.3,83,45.8,74.9,78.6,75,105,31,1260138
Czech Republic,6.845,10.611,0.953,69.05,0.859,44,71.9,88.5,39.5,76.9,78.6,70,120,26,10495295
Denmark,7.586,10.962,0.954,71.25,0.196,45,77.6,97.5,20.9,89,78.6,90,117,26,5910913
Dominican Republic,5.569,9.811,0.827,64.399,0.657,48,62.6,55.1,89.1,72.1,67,70,22,61,11332972
Ecuador,5.559,9.27,0.806,69,0.833,49,55,31.6,60.3,64,65.6,35,37,55,18190484
Egypt,4.17,9.367,0.726,63.503,0.58,50,49.6,39.7,79.4,51.1,60.2,65,59,47,112716598
El Salvador,6.122,9.089,0.755,65.597,0.62,51,56,43,71.6,64.7,68.6,60,8,68,6364943
Estonia,6.455,10.541,0.946,69.65,0.409,54,78.6,92.1,47.5,79.4,78.6,90,125,24,1322765
Ethiopia,4.091,7.739,0.782,60.698,0.789,55,48.3,30.4,93.7,39.3,56.4,30,50,49,126527060
Finland,7.804,10.792,0.969,71.15,0.182,57,77.1,100,8.5,84.9,78.6,85,114,28,5545475
France,6.661,10.701,0.909,72.3,0.553,58,63.6,93,0.1,78.2,78.6,75,44,52,64756584
Georgia,5.109,9.646,0.716,64.95,0.649,61,68.7,54.3,70,69.8,86,80,126,23,3728282
Germany,6.892,10.879,0.896,71.3,0.42,62,73.7,94.8,28.3,79.7,78.6,80,95,36,83294633
Ghana,4.605,8.596,0.641,58.763,0.881,63,58,50.5,81.2,53.3,63,70,58,47,34121985
Greece,5.931,10.288,0.835,71.15,0.793,64,56.9,76.7,9.7,70.3,78.6,55,66,46,10341277
Guatemala,6.15,9.116,0.812,62.9,0.837,65,62.7,39.2,94,65.8,74.6,70,26,59,18092026
Honduras,6.023,8.635,0.766,64.063,0.843,70,58.7,38.3,77.5,60.8,71.6,65,5,75,10593798
Hungary,6.041,10.419,0.943,67.5,0.839,72,64.1,69.5,29.8,73.5,78.6,80,96,34,10156239
Iceland,7.53,10.896,0.983,72.05,0.668,73,72.2,96.8,31.5,83.3,80.4,80,124,24,375318
India,4.036,8.759,0.608,60.777,0.774,74,52.9,49.7,73.8,64.3,59.8,40,71,44,1428627663
Indonesia,5.277,9.385,0.804,63.048,0.876,75,63.5,38.5,90.6,70.6,78.8,50,65,46,277534122
Iran,4.876,9.61,0.778,66.6,0.747,76,42.2,25,94.8,38.9,55.8,5,48,49,89172767
Iraq,4.941,9.098,0.718,63.415,0.876,77,0,14.6,0,43.1,0,0,53,48,45504560
Ireland,6.911,11.527,0.905,71.3,0.358,78,82,92.9,80.5,87.2,78.6,90,67,46,5056935
Israel,7.473,10.639,0.943,72.697,0.708,79,68.9,82.3,49.1,84.9,82.6,80,104,31,9174520
Italy,6.405,10.634,0.882,72.05,0.842,80,62.3,81.2,13.7,73.8,78.6,80,69,45,58870762
Jamaica,5.703,9.165,0.867,66.6,0.875,81,68.1,65.8,72.2,67.7,70,70,10,67,2825544
Japan,6.129,10.616,0.894,74.349,0.64,82,69.3,94.1,48.4,78.3,75.2,60,129,22,123294513
Jordan,4.12,9.13,0.729,67.6,0.687,83,58.8,54.1,70,59.8,71.4,70,87,40,11337052
Kazakhstan,6.144,10.166,0.931,65.802,0.721,84,62.1,54.8,85.1,64.6,74.8,50,40,54,19606633
Kenya,4.487,8.458,0.69,58.499,0.852,85,52.5,39.7,81.7,56,57.2,55,23,60,55100586
South Korea,5.951,10.693,0.812,73.65,0.701,88,73.7,88.5,82,84.8,72.2,60,116,27,51784059
Kyrgyzstan,5.825,8.486,0.911,66.852,0.904,90,55.8,24.2,66,56.1,72,60,31,57,6735347
Latvia,6.213,10.37,0.937,66.4,0.83,92,72.8,87.3,49,78.2,78.6,85,91,39,1830211
Lebanon,2.392,9.478,0.53,66.149,0.891,93,45.6,33.1,80.7,48.1,71.4,30,60,47,5353930
Lithuania,6.763,10.568,0.939,67.397,0.805,98,72.2,87.7,56.9,76,78.6,70,101,33,2718352
Luxembourg,7.228,11.66,0.879,71.675,0.345,99,78.4,96.8,41.6,85.5,78.6,95,97,34,654768
North Macedonia,5.254,9.703,0.805,66.5,0.902,101,63.7,58.9,63.9,74.1,77.8,65,90,39,2085679
Malaysia,6.012,10.169,0.799,65.662,0.758,104,67.3,65.4,82.4,70.3,83,60,29,57,34308525
Malta,6.3,10.661,0.923,71.6,0.729,107,67.5,86.9,45.9,75.5,78.6,70,85,40,535064
Mauritius,5.902,9.957,0.888,63.85,0.775,109,70.6,87,70.2,76,87.8,80,51,49,1300557
Mexico,6.33,9.85,0.804,65.8,0.768,110,63.2,47.8,77.8,72.4,76.8,75,39,54,128455567
Moldova,5.819,9.499,0.857,65.299,0.901,112,58.5,37.9,64.4,60.2,75.6,55,62,46,3435931
Mongolia,5.84,9.372,0.933,60.5,0.849,113,61.7,48.7,64.1,66.4,74.2,50,34,56,3447157
Montenegro,5.722,9.813,0.89,67.1,0.844,114,60.9,59.7,31.7,67.3,79.2,75,84,41,626485
Morocco,4.903,8.973,0.553,63.901,0.811,115,58.4,57.1,72,65.3,64.4,65,52,49,37840044
Namibia,4.631,9.121,0.787,56.851,0.83,117,57.7,64,53,56,71.8,65,15,65,2604172
Nepal,5.36,8.256,0.748,61.847,0.783,118,51.4,37.6,77.2,60.1,57.8,10,94,36,30896590
Netherlands,7.403,10.942,0.93,71.55,0.379,119,78,95.6,37.9,84.4,78.6,90,115,27,17618299
New Zealand,7.123,10.662,0.952,70.35,0.271,120,78.9,87.8,49.7,88.8,90.4,70,77,43,5228100
Nicaragua,6.259,8.618,0.853,65.65,0.625,121,54.9,29.7,74.4,53.9,66.4,60,55,48,7046310
Nigeria,4.981,8.496,0.74,54.891,0.911,123,53.9,24,95.2,44.3,68,45,16,64,223804632
Norway,7.315,11.088,0.943,71.5,0.283,124,76.9,98.9,18.7,95.2,84.6,75,98,34,5474360
Pakistan,4.555,8.54,0.601,57.313,0.787,126,49.4,29,88.9,45.9,65.8,60,79,43,240485658
Panama,6.265,10.305,0.896,68.95,0.878,127,63.8,56.8,81.1,71.1,78.5,75,68,45,4468087
Paraguay,5.738,9.51,0.906,65.9,0.843,129,61,46.8,81.7,69.5,77.2,75,49,49,6861524
Peru,5.526,9.402,0.798,69.85,0.892,130,66.5,51.4,83.3,72.8,81.2,75,12,67,34352719
Philippines,5.523,8.979,0.78,62.038,0.732,131,59.3,46.4,81.3,66.1,74.4,60,80,42,117337368
Poland,6.26,10.453,0.925,69.049,0.736,132,67.7,72.7,40,74.8,78.6,80,106,31,41026067
Portugal,5.968,10.429,0.878,71.25,0.878,133,69.5,89.9,34.7,76.2,78.6,70,109,30,10247605
Romania,6.589,10.339,0.848,67.051,0.929,135,64.5,81,59.7,71.3,78.6,70,112,28,19892812
Russia,5.661,10.21,0.889,64.947,0.801,136,53.8,30.6,60.4,54.8,69.4,30,86,40,144444359
Saudi Arabia,6.463,10.715,0.884,64.399,0.691,142,58.3,47.3,60.3,71.8,74.2,50,121,25,36947025
Serbia,6.144,9.854,0.873,67.088,0.816,144,63.5,58.7,37.6,74.3,76,70,93,38,7149077
Singapore,6.587,11.571,0.878,73.8,0.146,147,83.9,94,89,86.9,95,85,113,28,6014723
Slovakia,6.469,10.353,0.953,68.838,0.898,148,69,84.2,41.2,72.2,78.6,75,107,30,5795199
Slovenia,6.65,10.588,0.951,71.052,0.771,149,68.5,88.6,31.5,75.9,78.6,70,128,22,2119675
South Africa,5.275,9.478,0.907,56.989,0.902,151,55.7,42.5,67.3,64.5,72.4,45,3,77,60414495
Spain,6.436,10.54,0.932,72.35,0.711,152,65,87.2,30.2,75.2,83.6,85,102,33,47519628
Sri Lanka,4.442,9.491,0.826,67.15,0.808,153,52.2,51.6,88,54.4,67.2,30,83,41,21893579
Sweden,7.395,10.883,0.939,72.15,0.202,157,77.5,96.6,26.2,84.6,78.6,85,54,48,10612086
Switzerland,7.24,11.164,0.92,72.9,0.266,158,83.8,94.2,63.9,84.3,86.6,85,131,22,8796669
Taiwan,6.535,10.797,0.884,69.6,0.681,160,80.7,81.9,91.1,84.3,85.8,70,134,15,23923276
Tanzania,3.694,7.857,0.653,59.401,0.554,162,60,44.8,91.3,50.1,60.6,55,35,56,67438106
Thailand,5.843,9.751,0.874,68.45,0.91,163,60.6,44.2,81.5,66.6,70.8,55,89,39,71801279
Tunisia,4.497,9.244,0.73,67,0.907,168,52.9,61.8,68.4,54.4,66.3,40,73,44,12458223
Turkey,4.614,10.307,0.796,68.663,0.795,169,56.9,40.8,66.1,59.7,75.8,70,88,40,85816199
Uganda,4.432,7.716,0.794,58.913,0.857,171,51.4,47.7,87.4,46.1,55.4,55,32,56,48582334
Ukraine,5.071,9.314,0.878,64.55,0.907,172,0,0,0,0,0,0,57,47,36744634
United Arab Emirates,6.571,11.145,0.826,66.243,0.584,173,70.9,65.4,71.6,77,78,50,135,15,9516871
United Kingdom,6.796,10.704,0.882,70.3,0.454,174,69.9,95.1,41.9,79.1,81.8,80,64,46,67736802
United States,6.894,11.048,0.919,65.85,0.689,175,70.6,94.7,49.3,83.8,75.4,85,56,48,339996563
Uruguay,6.494,10.037,0.913,67.5,0.575,176,70.2,84.3,70.1,80.1,70.8,70,45,52,3423108
Uzbekistan,6.014,8.948,0.875,65.301,0.638,177,56.5,30.9,74.9,58.9,76,60,99,33,35163944
Venezuela,5.211,5.527,0.839,64.05,0.811,179,25.8,0.1,95,30.8,42.3,0.1,1,84,28838499
Vietnam,5.763,9.287,0.821,65.502,0.759,180,61.8,48.7,86.5,73.4,79.4,40,63,46,98858950
Zambia,3.982,8.074,0.694,55.032,0.818,182,47.8,36,69.6,43.9,65.2,55,74,44,20569737
Zimbabwe,3.204,7.641,0.69,54.05,0.766,183,39,20,92.6,39.8,54,25,25,59,16665409
